,title,images,description,price,rating,review
48,Kicking Hand Target,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/e/e/ee2.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","Material:Synthetic leather + Foam
Can be used for Muay Thai Kick Boxing MMA Training.
High Qaulity PU Lerather
High potency foam
more durable","रू 2,000",no rating,no review
49,Kicking Target,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/e/e/ee2.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","With wrist strap to stop the kick pad from droppingFor practicing high and low kicksBest choice to help enhance your speed, accuracy and strength.When struck, the kicker makes a loud rewarding sound, encouraging students to develop their focus and snap while increasing their confidence and performance
High quality PU leather
High potency foam
more durable for men and women","रू 2,000",no rating,no review
50,Multi Bench,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/e/e/ee2.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","Training : Adjustable Bench
Max User Weight : 120Kg
Feature : Compact Design and Easy Installation
Material Bold Steel Tube + Leather Cushion + Foam
Product Weight : 16kg
Box Weight : 18kg
Product Size : 150*50*120cm
Brand: Pulse Fitness","रू 18,400",no rating,no review
51,Dumbbell Rack,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/e/e/ee2.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","Designs and produces fitness equipment over 5 years. Especially in Gym Equipments, the rack was designed with advice of professional coach.
The edge of all the frame is polished to make it smoother, so you don't have to worry about being scratched. The odor-free rubber pad makes the dumbbell rack more stable and prevents damage to the floor and non-slip.
Store your dumbbells in a designated space that you can easily access while keeping things organized in your home gym!
The weight storage rack has an ergonomically designed structure featuring a three-tier storage space and an improved angled design to take and to place directly, allowing you to place the rack in any part of your home gym for easy equipment accessibility.","रू 17,900",no rating,no review
52,Squat Rack,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/e/e/ee2.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']",HIGH-QUALITY GYM ROD RACK MAXIMUM HEIGHT 6 FTFULL 16 GUAGE 1.5/1.5 SQUARE PIPE IS USED DURABLE ALL PRODUCTS OF HIGH QUALITY,"रू 31,300",no rating,no review
53,33CM Foam Roller,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/e/e/ee2.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","Prepare your body for peak performance
Strengthen your core and relieve back pain
Improve your balance and posture for long lasting relief
Prevent or recover from sports injury","रू 1,170",no rating,no review
54,45CM Foam Roller,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/e/e/ee2.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","Flexbility to massage yourself with multiple intensities.
Long Enought for all part of body.
It is great at providing joint mobility,flexibility and range of motion.
It reduce muscle pain and it also relaxes and restores fascia.
Foam rolling is a form of myofascial release that you can do on your own body .It work by massaging or releasing muscle and fascial tightness
The roller applies pressure,helping to break up ""knots"" that can form in your muscles and tissue","रू 1,600",no rating,no review
55,Portable Squat Stand,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/e/e/ee2.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","Practical:Ideal for squats and bench presses - Suitable for use with both standard and Olympic sized bars.
High Quality: Squat dumbbell racks stands are made of heavy duty 50mm steel tube frame; Max. Load 441 lb / 200 kg.
Anti-skid:The barbell bench press stands feet pads equipped with anti-skid to avoid damage to the floor, which also increased the security.
Adjustable:The barbell stands have 14 adjustable safety pins on each post to help you adjust to the appropriate height to meet your need?5cm gaps?; adjustable Height 45-70.5inch / 114-179 cm.
Safe & Secure:For added safety and stability, this adjustable squat rack uses selective metal nuts paired with quality washers.Please use a wrench to fasten the nuts. Nuts cannot be fully tightened by hand.","रू 17,300",no rating,no review
56,Matador Shaker Bottle,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/e/e/ee2.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","Protein Shaker Bottle with Spider Spring 3 In 1 GYM Bottle
Size: 500ml
Material: PP
Budget friendly - reusable plastic protein shaker bottle
Comes with shaker ball
The design of theshaker bottle helps to prevent your drinking spills while running
The bottle of body and cover is made from PP, Non-leaching food grade material
Food grade BPA & DEHP free",रू 550,no rating,no review
57,65CM Gym Ball,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/e/e/ee2.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","65 cm in Diameter
PUMP Included
Durable and easy to use
For strengthening and toning your overall body muscle
Improve balance , co-ordination , flexibility and circulation
Easily deflated for storage
For indoor or outdoor use , ideal for home , office or in the gym
color may vary","रू 1,790",no rating,no review
58,75CM Gym Ball,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/e/e/ee2.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","75 cm in Diameter (2.46 ft )
PUMP Included
Durable and easy to use
For strengthening and toning your overall body muscle
Improve balance , co-ordination , flexibility and circulation
Easily deflated for storage
For indoor or outdoor use , ideal for home , office or in the gym
color may vary","रू 2,000",no rating,no review
59,85CM Gym Ball,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/e/e/ee2.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","85 cm in Diameter
PUMP Included
Durable and easy to use
For strengthening and toning your overall body muscle
mprove balance , co-ordination , flexibility and circulation
Easily deflated for storage
For indoor or outdoor use , ideal for home , office or in the gym
color may vary","रू 2,200",no rating,no review
60,2Kg Vinyl Dumbbell Set,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/15515/SAM-PRO-SD-91/push.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","Vinyl Dumbbell 2 Kg pair
sold in Pair
Good Quality
Better grip compared to those available in Market","रू 1,400",no rating,no review
61,Chin Up Bar,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/15515/SAM-PRO-SD-91/push.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","Adjustable Pull Up Bars
Comfortable Hand-Grips
Lock Feature
Strong & Durable","रू 2,600",no rating,no review
62,Tummy Trimmer,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/15515/SAM-PRO-SD-91/push.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","Strong & Durable
All In One Set
Includes: Tummy Trimmer, Hand Grip & Skipping Rope","रू 1,100",no rating,no review
63,Matador Lever Belt,"['https://www.facebook.com/tr?id=1350000625395738&ev=PageView&noscript=1', 'https://cdn.sastodeal.com/fb_1.png', 'https://cdn.sastodeal.com/insta.png', 'https://cdn.sastodeal.com/twitter.png', 'https://cdn.sastodeal.com/logo/stores/1/SDLogo_White-Logo.png', 'https://cdn.sastodeal.com/catalog/product/15515/SAM-PRO-SD-91/push.jpg', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/Envelope.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/fb.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/twitter.png', 'https://www.sastodeal.com/static/version1647921564/frontend/Sastodeal/default/en_US/images/coupon-center.png', 'https://cdn.sastodeal.com/Bitmap1.png', 'https://cdn.sastodeal.com/Bitmap2.png', 'https://cdn.sastodeal.com/Bitmap3.png', 'https://cdn.sastodeal.com/Bitmap4.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_QR_code.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_Playstore.png', 'https://cdn.sastodeal.com/logo/default/Sastodeal_App_on_ios_store.png']","PREMIUM QUALITY TOP OF THE LINE: 4"" wide 10MM thick lever belt powerlifting belt
CHROME LEVER BUCKLE designed lever belt allows quick and easy use of the lever belt - no fiddling around with the prongs, simply flip it shut straight to your preferred tightness.
OPTIMAL FOR POWERLIFTING: This lever buckle belt is Perfect to give added support for heavy weightlifting that requires you to brace core such as squats and deadlifts.","रू 10,600",no rating,no review
